"Day","Biomass_Ideal","Biomass_Drought","Biomass_DroughtDisease"
49,29.4049841379075,19.4008252965929,14.3069790526437
50,31.0656603952196,20.4641348416728,15.0425840060346
51,32.7788530222043,21.5709250568302,15.8093714462496
52,34.5415986996196,22.7213406913856,16.6079719977092
53,36.3504289630087,23.9153355188863,17.4389554772458
54,38.2013803314136,25.1526569085435,18.3028225049981
55,40.0900143905465,26.4328313966244,19.1999958683083
56,42.0114481387228,27.7551516201581,20.130811715601
57,43.9603945700506,29.1186649901374,21.0955106703396
58,45.931213103051,30.5221644869174,22.0942289682946
59,47.9179690816008,31.9641819550506,23.1269897341702
60,49.9145011994046,33.4429842569163,24.1936945257218
61,51.9144953513687,34.9565726131009,25.2941152843827
62,53.9115631174084,36.5026854119704,26.4278868406339
63,55.8993228565912,38.0788047112304,27.5945001293551
64,57.8714812484582,39.6821665811935,28.793296274683
65,59.8219130748223,41.3097753544019,30.023461704947
66,61.7447370936628,42.9584217514161,31.2840244555948
67,63.6343860141434,44.624704750939,32.5738518112475
68,65.4856688285573,46.3050569676091,33.8916494268297
69,67.2938240773031,47.9957731968805,35.2359620519168
70,69.0545629963297,49.6930416878273,36.6051759619973
71,70.7641018995448,51.3929776159116,37.9975231753919
72,72.4191835573891,53.0916581529975,39.4110875054367
73,74.0170877242852,54.7851584749057,40.8438124647462
74,75.5556313220804,56.4695880105973,42.2935110026378
75,77.0331590882643,58.141126223659,43.7578770190379
76,78.4485257360312,59.7960572270501,45.2344985594522
77,79.8010708427882,61.4308025657571,46.7208725570643
78,81.0905877840867,63.0419515575949,48.2144209509921
79,82.3172880650787,64.6262886573021,49.7125079754679
80,83.4817623787737,66.1808173997791,51.2124583844694
81,84.5849396491828,67.7027805806061,52.711576351269
82,85.6280452087527,69.1896764412123,54.2071647634837
83,86.6125591244351,70.6392707375077,55.6965446222755
84,87.5401755359229,72.049604679836,57.1770742498953
85,88.4127637125086,73.4189988345908,58.6461680130222
86,89.2323313796822,74.7460531702289,60.1013142802366
87,90.000990719294,76.0296435099263,61.5400923501237
88,90.720927312474,77.2689147178737,62.9601881112541
89,91.3943721755238,78.463270995148,64.3594082257266
90,92.0235769372791,79.6123636940426,65.7356926629708
91,92.6107921223964,80.7160770772298,67.0871254488207
92,93.1582484381579,81.7745124513401,68.4119435351585
93,93.6681409115581,82.7879710951062,69.7085437363134
94,94.1426156870208,83.7569363821034,70.9754877185896
95,94.5837592712672,84.6820554694478,72.21150506757
96,94.9935899986605,85.5641208887694,73.41549449315
97,95.3740514858865,86.4040523364475,74.5865232637348
98,95.7270078472914,87.2028789184174,75.7238249880159
99,96.0542404499584,87.9617220625409,76.8267958848074
100,96.3574459992203,88.6817792700125,77.8949896983404
101,96.6382357595638,89.3643088377166,78.9281114281781
102,96.8981357317521,90.0106156467322,79.9260100496974
103,97.138587623661,90.6220380789194,80.8886704032006
104,97.3609504691382,91.1999360940935,81.8162044276341
105,97.566502765666,91.7456804748665,82.7088419091255
106,97.7564450173811,92.2606432248159,83.5669209057038
107,97.9319025848226,92.7461890880888,84.3908779982499
108,98.0939287565019,93.2036681446316,85.1812385045556
109,98.2435079699135,93.6344094246486,85.938606778927
110,98.381559120919,94.0397154782789,86.6636567046008
111,98.5089389105422,94.4208578314816,87.3571224708291
112,98.6264451871609,94.779073256352,88.0197897112488
113,98.7348202499289,95.1155607831976,88.6524870654362
114,98.8347540860946,95.4314793823455,89.25607821163
115,98.9268875207751,95.727946245515,89.8314544056954
116,99.0118152627987,96.0060355993887,90.3795275496516
117,99.0900888345149,96.2667779875196,90.9012238025718
118,99.1622193770905,96.511159960684,91.3974777374429
119,99.2286803258255,96.74012412008,91.8692270396297
120,99.2899099525277,96.9545694622028,92.3174077358921
